Country Name,Country Code,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,"Access to electricity, rural (% of rural population)",,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Afghanistan,AFG,"Access to electricity, rural (% of rural population)",,,,,,,,,,,,,,,,8.020723615,13.16844574,19.8682662,27.95425074,33.3787377,30.21880025,29.57288077,60.84915676,61.28219864,86.50051191,64.57335394,97.0993598,97.09197324,98.27287218
Angola,AGO,"Access to electricity, rural (% of rural population)",,,,,,,,,,,,9.477076871,2.799410016,2.082232091,1.16736075,0.034922006,,,,,,,,,0.019294125,3.815070299,,,
Albania,ALB,"Access to electricity, rural (% of rural population)",,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100
Andorra,AND,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Arab World,ARB,"Access to electricity, rural (% of rural population)",,,54.17330467,56.10343456,57.35018944,57.35329765,59.52833902,60.38373023,62.1120097,63.2617015,61.62634203,64.90892954,66.24645019,64.85015169,64.4712953,66.6120057,72.36730095,68.80599744,72.13583105,70.50646102,75.81616002,75.95887796,77.251714,78.16570635,75.51215254,78.21100038,79.06550797,81.1021336,79.24810006
United Arab Emirates,ARE,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Argentina,ARG,"Access to electricity, rural (% of rural population)",,,,,,,,,,,,91.61913534,95.57994282,96.4787027,97.01456716,97.10138402,96.82659507,96.33054732,95.76410132,95.28949231,90.19592074,92.93182303,94.68142295,94.19935897,100,98.1367605,99.69112008,100,100
Armenia,ARM,"Access to electricity, rural (% of rural population)",,,,,,,,,,,98.5339728,100,95.8633128,99.30233097,99.39099691,99.62269974,99.26602493,99.12243441,98.97796316,98.8718413,99.97352293,99.72131823,99.76675838,99.71771402,99.88419814,100,100,100,100
American Samoa,ASM,"Access to electricity, rural (% of rural population)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Access to electricity, rural (% of rural population)",,,,,,,,,,,,,,,,100,100,100,100,97.80427179,97.96861249,92.67438516,100,100,100,100,100,100,100
Australia,AUS,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Austria,AUT,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
